Mode,Level,Completion,unlocked
Einzelnoten,1,0.0,true
Einzelnoten,2,0.0,true
Einzelnoten,3,0.0,false
Einzelnoten,4,0.0,false
Einzelnoten,5,0.0,false
Einzelnoten,6,0.0,false
Einzelnoten,7,0.0,false
Einzelnoten,8,0.0,false
Einzelnoten,9,0.0,false
Intervalle,1,0.0,true
Intervalle,2,0.0,true
Intervalle,3,0.0,false
Intervalle,4,0.0,false
Intervalle,5,0.0,false
Intervalle,6,0.0,false
Intervalle,7,0.0,false
Intervalle,8,0.0,false
Intervalle,9,0.0,false
Melodien,1,0.0,true
Melodien,2,0.0,true
Melodien,3,0.0,false
Melodien,4,0.0,false
Melodien,5,0.0,false
Melodien,6,0.0,false
Melodien,7,0.0,false
Melodien,8,0.0,false
Melodien,9,0.0,false
